Date,AAPL,ADBE,AMAT,AMD,AMZN,AVGO,BKNG,COST,CSCO,GOOGL,INTC,INTU,META,MSFT,NFLX,NVDA,PEP,QCOM,QQQ,SPY,TSLA,TXN
2021-01-04,126.09659576416016,485.3399963378906,83.35370635986328,92.30000305175781,159.3314971923828,38.326297760009766,2133.313720703125,360.1973571777344,38.47023391723633,85.71531677246094,44.90293502807617,360.8793640136719,267.292236328125,209.27316284179688,522.8599853515625,13.077454566955566,124.86226654052734,134.01893615722656,300.5498046875,345.2740173339844,243.2566680908203,141.99102783203125
2021-01-05,127.65560913085938,485.69000244140625,85.97318267822266,92.7699966430664,160.92550659179688,38.58588790893555,2156.962890625,356.018798828125,38.487735748291016,86.40654754638672,45.75272750854492,358.1316833496094,269.30975341796875,209.47506713867188,520.7999877929688,13.367902755737305,125.23440551757812,137.56565856933594,303.02764892578125,347.6520080566406,245.0366668701172,143.03262329101562
2021-01-06,123.35852813720703,466.30999755859375,87.1534194946289,90.33000183105469,156.91900634765625,38.347930908203125,2217.8251953125,350.5990295410156,38.855281829833984,85.55390930175781,46.19569396972656,350.4909362792969,261.6966857910156,204.0435028076172,500.489990234375,12.57982349395752,123.70252227783203,136.44659423828125,298.83001708984375,349.7304382324219,251.9933319091797,143.74159240722656
2021-01-07,127.56794738769531,477.739990234375,90.732421875,95.16000366210938,158.10800170898438,39.964019775390625,2208.0068359375,348.6093444824219,39.34534454345703,88.10930633544922,47.18107986450195,357.898681640625,267.0934753417969,209.84996032714844,508.8900146484375,13.307317733764648,123.30438995361328,140.5167999267578,306.0592956542969,354.9266052246094,272.0133361816406,146.9977264404297
2021-01-08,128.66897583007812,485.1000061035156,91.69194030761719,94.58000183105469,159.13499450683594,40.16680908203125,2249.10400390625,350.5232238769531,39.432865142822266,89.2757568359375,46.69290542602539,364.14178466796875,265.9306335449219,211.12852478027344,510.3999938964844,13.240255355834961,124.78436279296875,141.36512756347656,309.9945983886719,356.94879150390625,293.3399963378906,149.816162109375
2021-01-11,125.6775894165039,474.239990234375,93.99478912353516,97.25,155.7104949951172,40.17763900756836,2189.690673828125,344.90447998046875,39.695404052734375,87.2129898071289,46.593475341796875,362.08026123046875,255.266357421875,209.08090209960938,499.1000061035156,13.58405590057373,122.97554779052734,140.88682556152344,305.51519775390625,354.542724609375,270.39666748046875,149.94744873046875
2021-01-12,125.502197265625,471.6499938964844,95.96182250976562,95.36000061035156,156.04150390625,40.50480651855469,2165.115234375,345.0845642089844,40.07170104980469,86.27644348144531,48.13031005859375,355.5941162109375,249.55157470703125,206.61985778808594,494.25,13.447683334350586,122.404296875,139.38864135742188,305.0293884277344,354.61761474609375,283.14666748046875,150.81399536132812
2021-01-13,127.5386962890625,472.04998779296875,94.0811538696289,91.77999877929688,158.29449462890625,40.668853759765625,2151.39306640625,347.69024658203125,39.695404052734375,86.76407623291016,51.48423767089844,354.9035339355469,250.09823608398438,207.975341796875,507.7900085449219,13.494552612304688,123.40826416015625,142.06907653808594,307.0892028808594,355.57257080078125,284.8033447265625,150.0349884033203
2021-01-14,125.60938262939453,463.2699890136719,101.51744842529297,90.79000091552734,156.37350463867188,40.74637222290039,2151.560546875,343.3316345214844,39.51162338256836,85.95317840576172,53.563499450683594,355.4384460449219,244.1349639892578,204.7837371826172,500.8599853515625,13.163966178894043,122.68990325927734,145.16461181640625,305.44708251953125,354.3273620605469,281.6666564941406,150.29759216308594
2021-01-15,123.88471221923828,458.0799865722656,98.96514129638672,88.20999908447266,155.21249389648438,40.18574142456055,2089.101318359375,343.151611328125,39.75664520263672,85.789306640625,52.05377960205078,360.786865234375,249.81993103027344,204.42799377441406,497.9800109863281,12.824151039123535,122.36969757080078,141.77125549316406,303.02764892578125,351.7433166503906,275.38665771484375,148.09182739257812
2021-01-19,124.55705261230469,456.5,104.79901123046875,89.44999694824219,156.03799438476562,41.39533233642578,2132.28857421875,335.8652648925781,39.5466194152832,88.61233520507812,52.4244270324707,374.3428039550781,259.5002746582031,208.07147216796875,501.7699890136719,12.989447593688965,122.9495620727539,147.79986572265625,307.4488525390625,354.5052490234375,281.51666259765625,152.4683380126953
2021-01-20,128.64950561523438,469.7300109863281,103.47489929199219,88.75,163.16900634765625,41.63057327270508,2129.34130859375,342.3367614746094,39.677886962890625,93.35958099365234,53.03916931152344,378.7284851074219,265.84112548828125,215.66598510742188,586.3400268554688,13.329010963439941,122.31775665283203,148.54893493652344,314.60028076171875,359.4111633300781,283.48333740234375,151.71554565429688
2021-01-21,133.3656005859375,472.0199890136719,103.59961700439453,91.52999877929688,165.34950256347656,42.075828552246094,2079.943359375,343.7579650878906,39.47661209106445,93.56219482421875,56.46541976928711,371.2309265136719,271.1981506347656,216.27171325683594,579.8400268554688,13.82938003540039,120.82914733886719,148.6842803955078,317.11688232421875,359.7387390136719,281.663330078125,153.2648468017578
2021-01-22,135.50927734375,472.44000244140625,102.02601623535156,92.79000091552734,164.6114959716797,41.91359329223633,2036.864990234375,343.2843017578125,39.179080963134766,93.97979736328125,51.222076416015625,364.5210266113281,272.81817626953125,217.2137908935547,565.1699829101562,13.6748046875,119.94634246826172,146.5814971923828,316.20361328125,358.46551513671875,282.21331787109375,151.2604217529297
