Date,QQQ,RSP,SPY
2024-01-02,398.70526123046875,153.36817932128906,462.6104431152344
2024-01-03,394.4862976074219,151.1043243408203,458.8324279785156
2024-01-04,392.4561462402344,150.85171508789062,457.3545227050781
2024-01-05,392.92156982421875,151.28895568847656,457.98089599609375
2024-01-08,401.0424499511719,152.91151428222656,464.51898193359375
2024-01-09,401.83477783203125,152.13426208496094,463.8142395019531
2024-01-10,404.5582275390625,152.39657592773438,466.43731689453125
2024-01-11,405.4000244140625,151.95932006835938,466.2317810058594
2024-01-12,405.60797119140625,151.61927795410156,466.5547790527344
2024-01-16,405.5683288574219,150.65737915039062,464.8419494628906
2024-01-17,403.2806701660156,149.4720458984375,462.2580261230469
2024-01-18,409.0049133300781,150.23960876464844,466.36883544921875
2024-01-19,417.1158447265625,151.3957977294922,472.1826477050781
2024-01-22,417.66058349609375,152.1925506591797,473.1809997558594
2024-01-23,419.3936767578125,152.27024841308594,474.5610046386719
2024-01-24,421.7209777832031,151.48329162597656,475.079833984375
2024-01-25,422.2359619140625,153.0086669921875,477.6636962890625
2024-01-26,419.720458984375,153.0281219482422,477.056884765625
2024-01-29,424.01861572265625,153.9608612060547,480.83489990234375
2024-01-30,421.1960754394531,153.99002075195312,480.46295166015625
2024-01-31,412.9465026855469,152.0176544189453,472.6231384277344
2024-02-01,417.8091125488281,153.7859649658203,478.8088684082031
2024-02-02,424.87030029296875,153.6499481201172,483.8494873046875
2024-02-05,424.3157043457031,152.3285369873047,482.087646484375
2024-02-06,423.4639587402344,153.2904510498047,483.4873352050781
2024-02-07,427.8215637207031,153.89283752441406,487.51983642578125
2024-02-08,428.6138610839844,154.23292541503906,487.735107421875
2024-02-09,432.83270263671875,154.41751098632812,490.5539855957031
2024-02-12,431.13922119140625,155.4668426513672,490.3386535644531
2024-02-13,424.4147033691406,152.88238525390625,483.585205078125
2024-02-14,429.0396728515625,154.28146362304688,487.9798278808594
2024-02-15,430.3172302246094,156.19554138183594,491.3467712402344
2024-02-16,426.41522216796875,155.48629760742188,488.89990234375
2024-02-20,423.1966247558594,155.12680053710938,486.20831298828125
2024-02-21,421.5030822753906,155.4376983642578,486.64874267578125
2024-02-22,433.84283447265625,156.98257446289062,496.7201843261719
2024-02-23,432.5653076171875,157.4003448486328,497.06268310546875
2024-02-26,432.3375244140625,156.76881408691406,495.2421875
2024-02-27,433.3774108886719,157.45863342285156,496.1622619628906
2024-02-28,431.0698547363281,157.51693725585938,495.50653076171875
2024-02-29,434.763916015625,158.1679229736328,497.2878112792969
2024-03-01,441.3100891113281,159.27557373046875,501.9565124511719
2024-03-04,439.7354431152344,159.5670166015625,501.4182434082031
2024-03-05,431.84234619140625,158.8383331298828,496.40692138671875
2024-03-06,434.5559387207031,159.74191284179688,498.92236328125
2024-03-07,441.1517028808594,160.9952850341797,503.8748779296875
2024-03-08,434.7837219238281,160.8107147216797,500.8504943847656
2024-03-11,433.1694641113281,161.0147247314453,500.41986083984375
2024-03-12,439.3789367675781,161.43251037597656,505.8030090332031
2024-03-13,436.0018615722656,161.51022338867188,505.0102233886719
2024-03-14,434.9025573730469,160.06256103515625,504.0118713378906
2024-03-15,429.7329406738281,159.75161743164062,500.5510559082031
2024-03-18,433.8315124511719,160.19068908691406,503.5259094238281
2024-03-19,434.91241455078125,161.14678955078125,506.3240661621094
2024-03-20,440.0690002441406,162.5224609375,511.0072021484375
2024-03-21,442.1514892578125,163.63470458984375,512.6959228515625
2024-03-22,442.6572570800781,162.5809783935547,511.72393798828125
2024-03-25,441.0507507324219,162.22976684570312,510.3101806640625
2024-03-26,439.6227722167969,162.0736541748047,509.36761474609375
2024-03-27,441.1201171875,164.6688690185547,513.6482543945312
2024-03-28,440.3070068359375,165.2445068359375,513.550048828125
2024-04-01,441.2391662597656,164.26885986328125,512.6566162109375
2024-04-02,437.4311828613281,162.85415649414062,509.3970947265625
2024-04-03,438.4129638671875,163.02980041503906,509.9566955566406
2024-04-04,431.7093200683594,161.37118530273438,503.73211669921875
2024-04-05,436.7965087890625,162.33709716796875,508.9945983886719
2024-04-08,436.9254455566406,162.83465576171875,509.27923583984375
2024-04-09,438.5418701171875,163.4785919189453,509.8683776855469
2024-04-10,434.7140197753906,160.697998046875,504.762939453125
2024-04-11,441.6556701660156,160.5809326171875,508.5723571777344
2024-04-12,434.6148681640625,158.0345001220703,501.552490234375
2024-04-15,427.46502685546875,156.66860961914062,495.2690124511719
2024-04-16,427.5046691894531,155.80027770996094,494.3657531738281
2024-04-17,422.2885437011719,155.4783172607422,491.43994140625
2024-04-18,419.8788146972656,155.33197021484375,490.4287109375
2024-04-19,411.1918640136719,155.9173583984375,486.1480712890625
2024-04-22,415.3271179199219,157.1076202392578,490.6251220703125
2024-04-23,421.52496337890625,158.50282287597656,496.4471435546875
2024-04-24,422.9529724121094,158.7272186279297,496.21148681640625
2024-04-25,420.9101867675781,158.39549255371094,494.3264465332031
2024-04-26,427.405517578125,158.47352600097656,499.0096435546875
2024-04-29,429.1408996582031,159.57601928710938,500.7768859863281
2024-04-30,421.0489501953125,157.27349853515625,492.8439636230469
2024-05-01,418.0045471191406,156.73690795898438,491.24359130859375
2024-05-02,423.3397216796875,157.70277404785156,495.8384094238281
2024-05-03,431.84820556640625,158.82476806640625,501.9845275878906
2024-05-06,436.578369140625,160.04432678222656,507.1683654785156
2024-05-07,436.64776611328125,160.4931182861328,507.7280578613281
2024-05-08,436.3899230957031,160.4541015625,507.7770690917969
2024-05-09,437.3419189453125,161.80047607421875,510.702880859375
