Datetime,IWM,QQQ,SPY
2025-07-28 13:30:00+00:00,224.67999267578125,568.2498779296875,637.5650024414062
2025-07-28 13:35:00+00:00,224.52999877929688,568.085205078125,637.4099731445312
2025-07-28 13:40:00+00:00,224.5500030517578,568.280029296875,637.3400268554688
2025-07-28 13:45:00+00:00,224.2899932861328,568.4052124023438,637.2750244140625
2025-07-28 13:50:00+00:00,224.18020629882812,568.5584106445312,637.2849731445312
2025-07-28 13:55:00+00:00,224.02000427246094,568.8699951171875,637.4500122070312
2025-07-28 14:00:00+00:00,224.389892578125,568.6400146484375,637.6599731445312
2025-07-28 14:05:00+00:00,224.32000732421875,568.9207763671875,637.8264770507812
2025-07-28 14:10:00+00:00,224.5386962890625,568.7653198242188,637.9688110351562
2025-07-28 14:15:00+00:00,224.2449951171875,568.5700073242188,637.8300170898438
2025-07-28 14:20:00+00:00,223.9799041748047,568.3699951171875,637.52001953125
2025-07-28 14:25:00+00:00,224.19000244140625,568.4650268554688,637.7349853515625
2025-07-28 14:30:00+00:00,224.1750030517578,568.4450073242188,637.625
2025-07-28 14:35:00+00:00,224.0800018310547,568.5700073242188,637.6950073242188
2025-07-28 14:40:00+00:00,224.20249938964844,568.4500122070312,637.8298950195312
2025-07-28 14:45:00+00:00,224.36500549316406,568.4199829101562,637.6799926757812
2025-07-28 14:50:00+00:00,224.24000549316406,568.105224609375,637.3400268554688
2025-07-28 14:55:00+00:00,224.31500244140625,568.3306274414062,637.435302734375
2025-07-28 15:00:00+00:00,224.27499389648438,568.1300048828125,637.3200073242188
2025-07-28 15:05:00+00:00,224.139892578125,568.2999877929688,637.4199829101562
2025-07-28 15:10:00+00:00,224.23350524902344,568.1749877929688,637.3599853515625
2025-07-28 15:15:00+00:00,223.9199981689453,567.4349975585938,636.72998046875
2025-07-28 15:20:00+00:00,223.90499877929688,567.6519775390625,636.9400024414062
2025-07-28 15:25:00+00:00,223.8300018310547,567.9166870117188,637.0700073242188
2025-07-28 15:30:00+00:00,223.94000244140625,567.9500122070312,637.1900024414062
2025-07-28 15:35:00+00:00,223.97000122070312,567.989990234375,637.1900024414062
2025-07-28 15:40:00+00:00,224.11500549316406,568.0999755859375,637.2899780273438
2025-07-28 15:45:00+00:00,224.2550048828125,568.22998046875,637.3350219726562
2025-07-28 15:50:00+00:00,224.27000427246094,568.2899780273438,637.5150146484375
2025-07-28 15:55:00+00:00,224.32000732421875,568.2449951171875,637.3900146484375
2025-07-28 16:00:00+00:00,224.4499969482422,568.1099853515625,637.3150024414062
2025-07-28 16:05:00+00:00,224.52000427246094,567.8099975585938,637.0800170898438
2025-07-28 16:10:00+00:00,224.5749969482422,568.0700073242188,637.2750244140625
2025-07-28 16:15:00+00:00,224.61500549316406,568.3300170898438,637.4400024414062
2025-07-28 16:20:00+00:00,224.57000732421875,568.2999877929688,637.4500122070312
2025-07-28 16:25:00+00:00,224.52000427246094,568.2550048828125,637.4000244140625
2025-07-28 16:30:00+00:00,224.50999450683594,568.0750122070312,637.2299194335938
2025-07-28 16:35:00+00:00,224.3350067138672,568.0599975585938,637.125
2025-07-28 16:40:00+00:00,224.25999450683594,568.0900268554688,637.135009765625
2025-07-28 16:45:00+00:00,224.16000366210938,567.9349975585938,636.9000244140625
2025-07-28 16:50:00+00:00,224.2050018310547,567.9450073242188,636.875
2025-07-28 16:55:00+00:00,224.14999389648438,568.0399780273438,636.885009765625
2025-07-28 17:00:00+00:00,224.27999877929688,567.8800048828125,637.0499877929688
2025-07-28 17:05:00+00:00,224.1999969482422,567.8079223632812,636.9600219726562
2025-07-28 17:10:00+00:00,224.1999969482422,568.0001220703125,636.97998046875
2025-07-28 17:15:00+00:00,223.91000366210938,567.5449829101562,636.4000244140625
2025-07-28 17:20:00+00:00,223.8000030517578,567.5800170898438,636.330078125
2025-07-28 17:25:00+00:00,223.8350067138672,567.5300903320312,636.3200073242188
2025-07-28 17:30:00+00:00,223.9499969482422,567.9500122070312,636.6099853515625
2025-07-28 17:35:00+00:00,224.02999877929688,567.8900146484375,636.594970703125
2025-07-28 17:40:00+00:00,224.0399932861328,567.97998046875,636.7100219726562
2025-07-28 17:45:00+00:00,223.88999938964844,567.780517578125,636.4600219726562
2025-07-28 17:50:00+00:00,223.9600067138672,567.6400146484375,636.3150024414062
2025-07-28 17:55:00+00:00,223.77999877929688,567.4450073242188,636.1099853515625
2025-07-28 18:00:00+00:00,223.60000610351562,567.3699951171875,635.9400024414062
2025-07-28 18:05:00+00:00,223.7050018310547,567.281982421875,635.7999877929688
2025-07-28 18:10:00+00:00,223.7949981689453,567.5050048828125,635.989990234375
2025-07-28 18:15:00+00:00,223.8300018310547,567.5399780273438,635.9299926757812
2025-07-28 18:20:00+00:00,223.8000030517578,567.260009765625,635.77880859375
2025-07-28 18:25:00+00:00,223.88999938964844,567.4650268554688,636.030029296875
2025-07-28 18:30:00+00:00,223.9550018310547,567.260009765625,635.9249877929688
2025-07-28 18:35:00+00:00,224.0449981689453,567.3099975585938,636.02001953125
2025-07-28 18:40:00+00:00,224.05990600585938,567.3300170898438,635.9949951171875
2025-07-28 18:45:00+00:00,224.0749969482422,567.4400024414062,636.06201171875
2025-07-28 18:50:00+00:00,224.06500244140625,567.5700073242188,636.1699829101562
2025-07-28 18:55:00+00:00,224.02999877929688,567.469970703125,636.0800170898438
2025-07-28 19:00:00+00:00,224.0500030517578,567.4100952148438,635.969970703125
2025-07-28 19:05:00+00:00,223.93499755859375,567.2799072265625,635.8099975585938
