Datetime,QQQ,SPY,XLE,XLF,XLK,XLV
2025-09-15 13:30:00+00:00,589.0800170898438,659.614990234375,88.2249984741211,53.91999816894531,271.7099914550781,137.77499389648438
2025-09-15 13:45:00+00:00,590.4299926757812,660.6500244140625,88.58999633789062,54.03499984741211,272.1600036621094,137.97999572753906
2025-09-15 14:00:00+00:00,590.1099853515625,660.2100219726562,88.57499694824219,53.91999816894531,271.5899963378906,137.5800018310547
2025-09-15 14:15:00+00:00,590.2907104492188,660.6799926757812,88.86000061035156,54.0,272.0299987792969,137.6750030517578
2025-09-15 14:30:00+00:00,590.2999877929688,660.81201171875,88.66999816894531,54.0099983215332,272.0199890136719,137.74000549316406
2025-09-15 14:45:00+00:00,590.468017578125,660.9500122070312,88.81500244140625,53.994998931884766,272.0400085449219,137.50999450683594
2025-09-15 15:00:00+00:00,590.3187255859375,660.780029296875,88.79440307617188,53.93899917602539,272.0899963378906,137.1999969482422
2025-09-15 15:15:00+00:00,590.2780151367188,660.3594970703125,88.55999755859375,53.78020095825195,272.239990234375,137.0500030517578
2025-09-15 15:30:00+00:00,590.4600219726562,660.3900146484375,88.62000274658203,53.73500061035156,272.3500061035156,137.02000427246094
2025-09-15 15:45:00+00:00,590.9099731445312,660.6199951171875,88.43000030517578,53.724998474121094,272.6400146484375,136.94000244140625
2025-09-15 16:00:00+00:00,591.0599975585938,660.8099975585938,88.38999938964844,53.7599983215332,272.42999267578125,136.85000610351562
2025-09-15 16:15:00+00:00,590.6699829101562,660.6019897460938,88.57499694824219,53.810001373291016,272.489990234375,136.8699951171875
2025-09-15 16:30:00+00:00,591.02001953125,660.5999755859375,88.49500274658203,53.75,272.7699890136719,136.91000366210938
2025-09-15 16:45:00+00:00,590.5800170898438,660.1300048828125,88.40499877929688,53.75,272.4800109863281,136.8300018310547
2025-09-15 17:00:00+00:00,590.5750122070312,660.010009765625,88.4749984741211,53.7400016784668,272.32000732421875,136.88999938964844
2025-09-15 17:15:00+00:00,590.2999267578125,659.75,88.51000213623047,53.720001220703125,272.17999267578125,136.7949981689453
2025-09-15 17:30:00+00:00,590.64990234375,660.3300170898438,88.58499908447266,53.82500076293945,272.3999938964844,137.0
2025-09-15 17:45:00+00:00,591.10498046875,660.6099243164062,88.45999908447266,53.779998779296875,272.7300109863281,137.10000610351562
2025-09-15 18:00:00+00:00,590.9600219726562,660.1500244140625,88.31999969482422,53.654998779296875,272.6600036621094,137.02999877929688
2025-09-15 18:15:00+00:00,590.5200805664062,659.9000244140625,88.44999694824219,53.69609832763672,272.4700012207031,136.9600067138672
2025-09-15 18:30:00+00:00,590.2100219726562,659.5349731445312,88.33000183105469,53.70009994506836,272.3500061035156,137.08999633789062
2025-09-15 18:45:00+00:00,590.7000122070312,660.0,88.2750015258789,53.727699279785156,272.67498779296875,137.05999755859375
2025-09-15 19:00:00+00:00,590.6950073242188,659.9450073242188,88.33999633789062,53.69499969482422,272.6199951171875,136.94000244140625
2025-09-15 19:15:00+00:00,590.7650146484375,660.0700073242188,88.34500122070312,53.67499923706055,272.7550048828125,137.0449981689453
2025-09-15 19:30:00+00:00,590.8499755859375,660.010009765625,88.2249984741211,53.654998779296875,272.7300109863281,137.03500366210938
2025-09-15 19:45:00+00:00,591.6900024414062,660.8499755859375,88.30000305175781,53.68000030517578,273.32000732421875,136.9199981689453
2025-09-16 13:30:00+00:00,592.0599975585938,660.791015625,88.86000061035156,53.46500015258789,274.0199890136719,136.8699951171875
2025-09-16 13:45:00+00:00,591.3699951171875,660.280029296875,89.05999755859375,53.369998931884766,273.3900146484375,136.97000122070312
2025-09-16 14:00:00+00:00,591.3800048828125,659.9299926757812,89.08000183105469,53.314998626708984,273.2900085449219,136.6699981689453
2025-09-16 14:15:00+00:00,591.405029296875,659.9450073242188,89.32499694824219,53.30500030517578,273.1300048828125,136.89999389648438
2025-09-16 14:30:00+00:00,591.239990234375,659.7899780273438,89.28500366210938,53.33000183105469,272.82000732421875,136.82000732421875
2025-09-16 14:45:00+00:00,591.3920288085938,659.8499755859375,89.22000122070312,53.32500076293945,272.92999267578125,136.72000122070312
2025-09-16 15:00:00+00:00,591.1799926757812,659.9000244140625,89.47000122070312,53.380001068115234,272.75,136.94000244140625
2025-09-16 15:15:00+00:00,590.9249877929688,659.6300048828125,89.41999816894531,53.29999923706055,272.5199890136719,136.94500732421875
2025-09-16 15:30:00+00:00,590.7661743164062,659.489990234375,89.62999725341797,53.314998626708984,272.5150146484375,136.98500061035156
2025-09-16 15:45:00+00:00,590.719970703125,659.6649780273438,89.68070220947266,53.400001525878906,272.2300109863281,137.2100067138672
2025-09-16 16:00:00+00:00,590.9450073242188,659.7349853515625,89.78500366210938,53.35499954223633,272.364990234375,137.25
2025-09-16 16:15:00+00:00,591.1500244140625,659.905029296875,89.80500030517578,53.404998779296875,272.385009765625,137.25
2025-09-16 16:30:00+00:00,591.0150146484375,659.7650146484375,89.68000030517578,53.415000915527344,272.3299865722656,137.1199951171875
2025-09-16 16:45:00+00:00,591.0985107421875,659.9550170898438,89.52999877929688,53.47999954223633,272.54998779296875,137.1999969482422
2025-09-16 17:00:00+00:00,591.4500122070312,660.2849731445312,89.70999908447266,53.494998931884766,272.6199951171875,137.17999267578125
2025-09-16 17:15:00+00:00,591.2999877929688,660.260009765625,89.9000015258789,53.5,272.45001220703125,137.11500549316406
2025-09-16 17:30:00+00:00,591.2249755859375,660.0850219726562,89.98999786376953,53.525001525878906,272.3399963378906,137.0500030517578
