Datetime,GOOG,MSFT,NVDA,QQQ,SPY
2025-07-28 13:30:00+00:00,192.656005859375,514.0800170898438,174.9250030517578,568.4650268554688,637.7349853515625
2025-07-28 14:30:00+00:00,192.1199951171875,512.6580200195312,174.92999267578125,567.9166870117188,637.0700073242188
2025-07-28 15:30:00+00:00,192.25,512.1199951171875,175.0299072265625,568.2550048828125,637.4000244140625
2025-07-28 16:30:00+00:00,192.91000366210938,511.1650085449219,175.2100067138672,567.5300903320312,636.3200073242188
2025-07-28 17:30:00+00:00,193.25999450683594,510.54998779296875,175.47500610351562,567.4650268554688,636.030029296875
2025-07-28 18:30:00+00:00,192.8350067138672,510.7900085449219,176.15499877929688,567.469970703125,636.0399780273438
2025-07-28 19:30:00+00:00,193.4199981689453,512.52001953125,176.75,568.2000122070312,636.8900146484375
2025-07-29 13:30:00+00:00,193.9499969482422,514.3099975585938,178.13999938964844,569.8900146484375,637.760009765625
2025-07-29 14:30:00+00:00,194.06509399414062,513.3200073242188,175.85989379882812,567.5449829101562,635.2899780273438
2025-07-29 15:30:00+00:00,195.47000122070312,512.7999877929688,176.33999633789062,567.8499755859375,635.6599731445312
2025-07-29 16:30:00+00:00,195.81309509277344,512.8400268554688,176.19529724121094,568.5698852539062,636.1799926757812
2025-07-29 17:30:00+00:00,195.9499969482422,511.5849914550781,176.2050018310547,567.8765258789062,635.3200073242188
2025-07-29 18:30:00+00:00,196.07000732421875,512.280029296875,175.8249969482422,567.4000244140625,635.0599975585938
2025-07-29 19:30:00+00:00,196.44000244140625,512.9500122070312,175.50999450683594,567.3200073242188,635.219970703125
2025-07-30 13:30:00+00:00,196.47999572753906,513.2999877929688,178.4600067138672,568.5700073242188,636.3300170898438
2025-07-30 14:30:00+00:00,197.6699981689453,513.0599975585938,178.26519775390625,568.1699829101562,635.3150024414062
2025-07-30 15:30:00+00:00,198.2100067138672,513.239990234375,178.80499267578125,569.3300170898438,636.5700073242188
2025-07-30 16:30:00+00:00,197.7550048828125,512.9000244140625,179.00669860839844,569.10009765625,636.2100219726562
2025-07-30 17:30:00+00:00,197.97000122070312,512.73681640625,179.55499267578125,569.7947998046875,636.77001953125
2025-07-30 18:30:00+00:00,196.6999969482422,511.25,178.58999633789062,565.9891967773438,632.0892944335938
2025-07-30 19:30:00+00:00,197.49000549316406,514.1799926757812,179.2899932861328,568.1400146484375,634.5
2025-07-31 13:30:00+00:00,194.90499877929688,537.7000732421875,181.57000732421875,571.9301147460938,638.8200073242188
2025-07-31 14:30:00+00:00,193.4499969482422,537.0,179.889892578125,569.4199829101562,636.1900024414062
2025-07-31 15:30:00+00:00,194.7949981689453,536.4580078125,181.3780059814453,571.1300048828125,638.0800170898438
2025-07-31 16:30:00+00:00,193.11000061035156,534.4967041015625,179.02000427246094,567.4450073242188,634.8400268554688
2025-07-31 17:30:00+00:00,193.3000030517578,534.3699951171875,177.36500549316406,566.5900268554688,634.2100219726562
2025-07-31 18:30:00+00:00,192.77000427246094,532.2100219726562,177.41969299316406,565.5607299804688,632.780029296875
2025-07-31 19:30:00+00:00,192.88999938964844,533.5650024414062,177.85000610351562,565.0,631.969970703125
2025-08-01 13:30:00+00:00,190.26510620117188,527.9500122070312,174.97500610351562,556.3800048828125,623.2000122070312
2025-08-01 14:30:00+00:00,189.6199951171875,523.625,174.77999877929688,554.378173828125,621.510009765625
2025-08-01 15:30:00+00:00,189.91400146484375,524.280029296875,175.82000732421875,556.97998046875,624.2100219726562
2025-08-01 16:30:00+00:00,189.32000732421875,523.2849731445312,173.10989379882812,553.1300048828125,620.5700073242188
2025-08-01 17:30:00+00:00,189.92999267578125,524.27001953125,173.2799072265625,554.1199951171875,621.6248168945312
2025-08-01 18:30:00+00:00,189.75,524.1300048828125,173.75,553.7899780273438,621.7899780273438
2025-08-01 19:30:00+00:00,189.9499969482422,524.0,173.58999633789062,553.8499755859375,621.7100219726562
2025-08-04 13:30:00+00:00,195.3000030517578,535.0468139648438,177.9499969482422,562.8200073242188,629.4000244140625
2025-08-04 14:30:00+00:00,194.0,533.6300048828125,177.8498992919922,561.9299926757812,629.0
2025-08-04 15:30:00+00:00,194.74000549316406,536.72998046875,178.9250030517578,563.219970703125,629.719970703125
2025-08-04 16:30:00+00:00,195.19000244140625,537.2999877929688,179.02999877929688,563.60498046875,630.2899780273438
2025-08-04 17:30:00+00:00,195.3800048828125,537.510009765625,179.27000427246094,563.2750244140625,629.989990234375
2025-08-04 18:30:00+00:00,195.14999389648438,535.0499877929688,179.31390380859375,563.2999877929688,630.2650146484375
2025-08-04 19:30:00+00:00,195.75,535.469970703125,179.97000122070312,564.0999755859375,631.0599975585938
2025-08-05 13:30:00+00:00,197.8260955810547,534.0700073242188,178.24000549316406,563.9500122070312,629.8590087890625
2025-08-05 14:30:00+00:00,196.34010314941406,532.3685302734375,176.88499450683594,561.114990234375,628.010009765625
2025-08-05 15:30:00+00:00,196.32839965820312,532.9400024414062,177.92999267578125,561.760009765625,629.0499877929688
2025-08-05 16:30:00+00:00,196.3000030517578,531.594970703125,178.02999877929688,562.05126953125,629.6950073242188
2025-08-05 17:30:00+00:00,195.87010192871094,530.5599975585938,178.50999450683594,561.31201171875,628.7100219726562
2025-08-05 18:30:00+00:00,195.2100067138672,529.0,178.77520751953125,561.1199951171875,628.9799194335938
2025-08-05 19:30:00+00:00,195.32000732421875,527.719970703125,178.25999450683594,560.1900024414062,628.02001953125
2025-08-06 13:30:00+00:00,194.57000732421875,526.3200073242188,178.0399932861328,561.8300170898438,628.7949829101562
