Datetime,IWM,QQQ,SPY,XLE,XLF,XLK
2025-09-18 13:30:00+00:00,243.22000122070312,597.4500122070312,664.4000244140625,90.0,54.46500015258789,276.4700012207031
2025-09-18 14:30:00+00:00,242.52999877929688,597.3400268554688,663.3250122070312,89.5199966430664,54.23500061035156,276.5299987792969
2025-09-18 15:30:00+00:00,243.88999938964844,597.0692749023438,663.4600219726562,89.69000244140625,54.29499816894531,276.4200134277344
2025-09-18 16:30:00+00:00,244.63999938964844,596.8699951171875,663.3200073242188,89.44000244140625,54.20000076293945,276.3800048828125
2025-09-18 17:30:00+00:00,244.1699981689453,596.2850952148438,662.7750244140625,89.55999755859375,54.1349983215332,276.1499938964844
2025-09-18 18:30:00+00:00,244.5,595.885009765625,662.7100219726562,89.90499877929688,54.1349983215332,276.17999267578125
2025-09-18 19:30:00+00:00,244.8000030517578,595.3699951171875,662.2899780273438,89.69999694824219,54.119998931884766,276.1199951171875
2025-09-19 13:30:00+00:00,243.97000122070312,597.6298828125,661.9199829101562,88.79000091552734,54.03499984741211,277.29998779296875
2025-09-19 14:30:00+00:00,243.02000427246094,596.3200073242188,660.760009765625,88.41999816894531,53.98500061035156,276.5899963378906
2025-09-19 15:30:00+00:00,243.8199005126953,598.4299926757812,662.489990234375,88.3499984741211,54.17499923706055,277.9100036621094
2025-09-19 16:30:00+00:00,243.66000366210938,598.125,662.47998046875,88.33999633789062,54.219600677490234,277.8599853515625
2025-09-19 17:30:00+00:00,242.67999267578125,598.22998046875,662.530029296875,88.45500183105469,54.20500183105469,277.7250061035156
2025-09-19 18:30:00+00:00,243.1999969482422,599.02001953125,663.7999877929688,88.625,54.345001220703125,278.2300109863281
2025-09-19 19:30:00+00:00,242.94000244140625,599.4600219726562,663.6199951171875,88.5199966430664,54.22999954223633,278.80999755859375
2025-09-22 13:30:00+00:00,242.35000610351562,599.9301147460938,664.0800170898438,87.26000213623047,53.935001373291016,279.3500061035156
2025-09-22 14:30:00+00:00,243.22500610351562,600.3200073242188,664.9400024414062,87.66000366210938,53.91999816894531,280.3599853515625
2025-09-22 15:30:00+00:00,243.2100067138672,601.5650024414062,665.844970703125,87.51499938964844,53.91999816894531,281.7250061035156
2025-09-22 16:30:00+00:00,243.6199951171875,601.9349975585938,666.510009765625,87.75,53.95000076293945,282.1499938964844
2025-09-22 17:30:00+00:00,243.985595703125,602.4199829101562,666.5650024414062,87.72000122070312,53.89500045776367,282.3699951171875
2025-09-22 18:30:00+00:00,244.40499877929688,602.635009765625,667.1420288085938,88.02999877929688,53.96500015258789,282.7099914550781
2025-09-22 19:30:00+00:00,244.36990356445312,602.239990234375,666.780029296875,87.66999816894531,53.97999954223633,282.67999267578125
2025-09-23 13:30:00+00:00,246.2550048828125,601.1900024414062,666.6199951171875,89.9800033569336,54.29499816894531,281.9100036621094
2025-09-23 14:30:00+00:00,246.16000366210938,601.2999267578125,666.1500244140625,89.79000091552734,54.1150016784668,281.8299865722656
2025-09-23 15:30:00+00:00,245.98500061035156,600.6500854492188,665.239990234375,89.80500030517578,54.000099182128906,281.3299865722656
2025-09-23 16:30:00+00:00,244.85499572753906,599.135009765625,663.7080078125,89.59500122070312,53.84000015258789,280.3299865722656
2025-09-23 17:30:00+00:00,243.74000549316406,597.75,662.6749877929688,89.31999969482422,53.68000030517578,279.6700134277344
2025-09-23 18:30:00+00:00,243.6999969482422,597.510986328125,662.369873046875,89.36000061035156,53.65999984741211,279.7349853515625
2025-09-23 19:30:00+00:00,243.8800048828125,598.1599731445312,663.25,89.19999694824219,53.755001068115234,280.17999267578125
2025-09-24 13:30:00+00:00,244.0800018310547,597.9299926757812,663.2100219726562,90.55500030517578,53.81999969482422,279.4700012207031
2025-09-24 14:30:00+00:00,243.38999938964844,597.35498046875,662.6599731445312,90.84500122070312,53.7598991394043,279.2300109863281
2025-09-24 15:30:00+00:00,242.35000610351562,595.0499877929688,660.9099731445312,90.94000244140625,53.65999984741211,277.5299987792969
2025-09-24 16:30:00+00:00,242.5850067138672,595.860107421875,661.3699951171875,91.04000091552734,53.64500045776367,278.1099853515625
2025-09-24 17:30:00+00:00,241.88999938964844,595.1099853515625,660.385009765625,90.65499877929688,53.564998626708984,277.989990234375
2025-09-24 18:30:00+00:00,241.85000610351562,595.6599731445312,660.7949829101562,90.38500213623047,53.560001373291016,278.1499938964844
2025-09-24 19:30:00+00:00,241.61000061035156,596.0599975585938,661.030029296875,90.33000183105469,53.61000061035156,278.4599914550781
2025-09-25 13:30:00+00:00,239.4499969482422,593.239990234375,658.47998046875,90.63999938964844,53.63999938964844,277.30999755859375
2025-09-25 14:30:00+00:00,238.72000122070312,592.75,657.4600219726562,90.87000274658203,53.450599670410156,277.1700134277344
2025-09-25 15:30:00+00:00,239.24440002441406,593.5700073242188,658.010009765625,90.94000244140625,53.45000076293945,277.5249938964844
2025-09-25 16:30:00+00:00,239.05999755859375,592.6799926757812,657.2949829101562,91.12999725341797,53.41590118408203,277.25
2025-09-25 17:30:00+00:00,239.1300048828125,592.3499755859375,656.989990234375,91.09500122070312,53.4202995300293,277.1549072265625
2025-09-25 18:30:00+00:00,239.0500030517578,592.3499755859375,656.9849853515625,91.09010314941406,53.43000030517578,277.1499938964844
