Datetime,DIA,IWM,QQQ,SPY
2025-09-22 13:30:00+00:00,460.7300109863281,241.69500732421875,598.6124877929688,662.6500244140625
2025-09-22 13:35:00+00:00,460.3399963378906,241.27999877929688,598.25,662.4099731445312
2025-09-22 13:40:00+00:00,460.4700012207031,241.40499877929688,598.5700073242188,662.614990234375
2025-09-22 13:45:00+00:00,460.8800048828125,242.1300048828125,598.7949829101562,662.8900146484375
2025-09-22 13:50:00+00:00,461.67999267578125,242.65989685058594,599.3049926757812,663.4550170898438
2025-09-22 13:55:00+00:00,461.9100036621094,243.02999877929688,599.1699829101562,663.4199829101562
2025-09-22 14:00:00+00:00,461.760009765625,242.8000030517578,599.219970703125,663.4749755859375
2025-09-22 14:05:00+00:00,462.1099853515625,242.92999267578125,599.35498046875,663.6799926757812
2025-09-22 14:10:00+00:00,461.9800109863281,242.5399932861328,598.9600219726562,663.4400024414062
2025-09-22 14:15:00+00:00,461.80999755859375,242.37069702148438,599.1749877929688,663.4600830078125
2025-09-22 14:20:00+00:00,461.69000244140625,242.14500427246094,599.6099853515625,663.7011108398438
2025-09-22 14:25:00+00:00,462.1000061035156,242.35000610351562,599.9301147460938,664.0800170898438
2025-09-22 14:30:00+00:00,462.260009765625,242.22999572753906,599.7750244140625,664.0999755859375
2025-09-22 14:35:00+00:00,462.3699951171875,242.17999267578125,600.034423828125,664.2949829101562
2025-09-22 14:40:00+00:00,462.5400085449219,242.35000610351562,600.27001953125,664.5349731445312
2025-09-22 14:45:00+00:00,462.8299865722656,242.63999938964844,600.2000122070312,664.635009765625
2025-09-22 14:50:00+00:00,463.07000732421875,242.56500244140625,600.2999877929688,664.8599853515625
2025-09-22 14:55:00+00:00,463.20001220703125,242.91000366210938,600.469970703125,665.02001953125
2025-09-22 15:00:00+00:00,463.2699890136719,243.0399932861328,600.27001953125,664.9199829101562
2025-09-22 15:05:00+00:00,463.5400085449219,243.0449981689453,600.3400268554688,665.0499877929688
2025-09-22 15:10:00+00:00,463.4200134277344,242.96499633789062,600.0499877929688,664.8200073242188
2025-09-22 15:15:00+00:00,463.3900146484375,243.1300048828125,599.989990234375,664.840087890625
2025-09-22 15:20:00+00:00,463.2200012207031,243.2100067138672,600.25,664.9511108398438
2025-09-22 15:25:00+00:00,463.0799865722656,243.22500610351562,600.3200073242188,664.9400024414062
2025-09-22 15:30:00+00:00,463.32000732421875,243.32000732421875,599.885009765625,664.6799926757812
2025-09-22 15:35:00+00:00,463.2099914550781,243.22999572753906,600.105712890625,664.780029296875
2025-09-22 15:40:00+00:00,463.2099914550781,243.27499389648438,600.02001953125,664.6749877929688
2025-09-22 15:45:00+00:00,463.0799865722656,243.0050048828125,600.1699829101562,664.6199951171875
2025-09-22 15:50:00+00:00,463.1000061035156,242.99000549316406,600.1900024414062,664.5900268554688
2025-09-22 15:55:00+00:00,463.2200012207031,242.9199981689453,600.1400146484375,664.5900268554688
2025-09-22 16:00:00+00:00,463.1099853515625,242.94000244140625,600.3300170898438,664.8099975585938
2025-09-22 16:05:00+00:00,463.0899963378906,243.0,600.77001953125,665.1099853515625
2025-09-22 16:10:00+00:00,463.07000732421875,242.8000030517578,601.14990234375,665.3300170898438
2025-09-22 16:15:00+00:00,463.04998779296875,242.875,601.114990234375,665.3699951171875
2025-09-22 16:20:00+00:00,463.2300109863281,243.0500030517578,601.260009765625,665.5700073242188
2025-09-22 16:25:00+00:00,463.29998779296875,243.2100067138672,601.5650024414062,665.844970703125
2025-09-22 16:30:00+00:00,463.3500061035156,243.30999755859375,601.8499755859375,666.0250244140625
2025-09-22 16:35:00+00:00,463.510009765625,243.5399932861328,601.8599853515625,666.1849975585938
2025-09-22 16:40:00+00:00,463.3699951171875,243.61000061035156,601.760009765625,666.1199951171875
2025-09-22 16:45:00+00:00,463.55999755859375,243.625,601.739990234375,666.1900024414062
2025-09-22 16:50:00+00:00,463.49700927734375,243.625,601.9600219726562,666.3599853515625
2025-09-22 16:55:00+00:00,463.57000732421875,243.50999450683594,601.8900146484375,666.4099731445312
2025-09-22 17:00:00+00:00,463.6300048828125,243.5399932861328,602.0355834960938,666.469970703125
2025-09-22 17:05:00+00:00,463.4200134277344,243.44000244140625,601.9550170898438,666.344970703125
2025-09-22 17:10:00+00:00,463.3999938964844,243.47999572753906,601.719970703125,666.2100219726562
2025-09-22 17:15:00+00:00,463.5000915527344,243.5399932861328,601.6199951171875,666.1500244140625
2025-09-22 17:20:00+00:00,463.6000061035156,243.53500366210938,601.8800048828125,666.4000244140625
2025-09-22 17:25:00+00:00,463.8299865722656,243.6199951171875,601.9349975585938,666.510009765625
2025-09-22 17:30:00+00:00,463.79998779296875,243.6750030517578,601.7650146484375,666.3699951171875
2025-09-22 17:35:00+00:00,464.0299987792969,243.72999572753906,601.9500122070312,666.5900268554688
2025-09-22 17:40:00+00:00,464.07000732421875,243.81500244140625,602.094970703125,666.7000122070312
2025-09-22 17:45:00+00:00,463.9200134277344,243.81019592285156,602.1019287109375,666.6799926757812
2025-09-22 17:50:00+00:00,463.69000244140625,243.55999755859375,602.0048217773438,666.4650268554688
2025-09-22 17:55:00+00:00,463.55999755859375,243.55999755859375,601.9400024414062,666.35498046875
2025-09-22 18:00:00+00:00,463.3999938964844,243.5081024169922,602.030029296875,666.2183837890625
2025-09-22 18:05:00+00:00,463.3900146484375,243.57000732421875,602.0900268554688,666.1749877929688
2025-09-22 18:10:00+00:00,463.6700134277344,243.7899932861328,602.22998046875,666.4099731445312
