Date,QQQ,SPY
2021-01-04,300.5498352050781,345.2740173339844
2021-01-05,303.0275573730469,347.6519775390625
2021-01-06,298.8299865722656,349.73040771484375
2021-01-07,306.0592956542969,354.92657470703125
2021-01-08,309.9945373535156,356.9488220214844
2021-01-11,305.5151672363281,354.5427551269531
2021-01-12,305.0293273925781,354.6175842285156
2021-01-13,307.0892333984375,355.572509765625
2021-01-14,305.4471130371094,354.32733154296875
2021-01-15,303.0275573730469,351.7433776855469
2021-01-19,307.44873046875,354.50531005859375
2021-01-20,314.6003112792969,359.4111328125
2021-01-21,317.116943359375,359.73876953125
2021-01-22,316.20355224609375,358.4654541015625
2021-01-25,318.8173828125,359.8792724609375
2021-01-26,319.2838134765625,359.3175048828125
2021-01-27,310.3832702636719,350.53564453125
2021-01-28,312.21978759765625,353.5502624511719
2021-01-29,305.6512145996094,346.47235107421875
2021-02-01,313.28863525390625,352.2396240234375
2021-02-02,318.3995361328125,357.2203063964844
2021-02-03,317.1363220214844,357.5011901855469
2021-02-04,320.8871154785156,361.56451416015625
2021-02-05,321.9753723144531,362.98748779296875
2021-02-08,324.1324462890625,365.6090087890625
2021-02-09,324.064453125,365.3656005859375
2021-02-10,323.3259582519531,365.2064208984375
2021-02-11,325.1041259765625,365.79620361328125
2021-02-12,326.92120361328125,367.6032409667969
2021-02-16,326.0370178222656,367.284912109375
2021-02-17,324.4725646972656,367.3691101074219
2021-02-18,323.0539245605469,365.8056335449219
2021-02-19,321.64501953125,365.15960693359375
2021-02-22,313.3080749511719,362.3509216308594
2021-02-23,312.3751525878906,362.791015625
2021-02-24,314.9501647949219,366.7886962890625
2021-02-25,303.97021484375,357.9505615234375
2021-02-26,305.2430419921875,356.1062316894531
2021-03-01,314.42535400390625,364.73834228515625
2021-03-02,309.3824462890625,361.8921203613281
2021-03-03,300.404052734375,357.0986328125
2021-03-04,295.4873962402344,352.6796569824219
2021-03-05,299.9377136230469,359.1677551269531
2021-03-08,291.4451904296875,357.3794860839844
2021-03-09,302.94012451171875,362.4820251464844
2021-03-10,302.0754089355469,364.73834228515625
2021-03-11,309.03265380859375,368.4364318847656
2021-03-12,306.525634765625,368.9326171875
2021-03-15,309.8002624511719,371.1328125
2021-03-16,311.5005798339844,370.6646423339844
2021-03-17,312.78326416015625,371.9286193847656
2021-03-18,303.2025146484375,366.51715087890625
2021-03-19,304.2713928222656,365.83905029296875
2021-03-22,309.9774475097656,368.7601318359375
2021-03-23,308.62518310546875,365.8577880859375
2021-03-24,303.42010498046875,363.9979553222656
2021-03-25,302.89471435546875,366.045654296875
2021-03-26,307.43817138671875,371.9444580078125
2021-03-29,307.3506774902344,371.7565612792969
2021-03-30,305.8037414550781,370.770263671875
2021-03-31,310.48333740234375,372.2731628417969
2021-04-01,315.7759704589844,376.29339599609375
2021-04-05,322.0804443359375,381.6943359375
2021-04-06,321.85662841796875,381.4688720703125
2021-04-07,322.635009765625,381.9104919433594
2021-04-08,326.0012512207031,383.7232360839844
2021-04-09,327.9761962890625,386.512939453125
2021-04-12,327.5481872558594,386.6538391113281
2021-04-13,331.3716735839844,387.7998352050781
2021-04-14,327.39251708984375,386.4754333496094
2021-04-15,332.3542785644531,390.6271057128906
2021-04-16,332.743408203125,391.93280029296875
2021-04-19,329.6982421875,390.00714111328125
2021-04-20,327.2951965332031,387.15167236328125
2021-04-21,330.09716796875,390.81500244140625
2021-04-22,326.117919921875,387.2456359863281
2021-04-23,330.2236328125,391.4443359375
2021-04-26,332.37371826171875,392.26153564453125
2021-04-27,330.93389892578125,392.1769714355469
2021-04-28,329.8149719238281,392.0642395019531
2021-04-29,331.0019836425781,394.562744140625
2021-04-30,328.8323974609375,391.97027587890625
2021-05-03,327.0810546875,392.8157043457031
2021-05-04,321.1949768066406,390.392333984375
2021-05-05,320.1151123046875,390.5144348144531
2021-05-06,322.5279541015625,393.6328430175781
2021-05-07,325.1451110839844,396.497802734375
2021-05-10,316.9337463378906,392.5715637207031
2021-05-11,316.4959716796875,389.06787109375
2021-05-12,308.3040771484375,380.80206298828125
2021-05-13,310.6876525878906,385.3764343261719
2021-05-14,317.5467224121094,391.29400634765625
2021-05-17,315.6203308105469,390.2983703613281
2021-05-18,313.48968505859375,386.93560791015625
2021-05-19,313.849609375,385.9212341308594
2021-05-20,319.9205627441406,390.0729064941406
2021-05-21,318.14984130859375,389.75360107421875
2021-05-24,323.5008239746094,393.7268371582031
2021-05-25,323.9483642578125,392.8532409667969
2021-05-26,325.07696533203125,393.6328430175781
2021-05-27,323.8608703613281,393.8395690917969
2021-05-28,324.8823547363281,394.5440368652344
2021-06-01,323.802490234375,394.1965026855469
2021-06-02,324.4348449707031,394.8163757324219
2021-06-03,321.05889892578125,393.35113525390625
2021-06-04,326.5071716308594,396.9486389160156
2021-06-07,327.48004150390625,396.5635986328125
2021-06-08,327.6357116699219,396.6480407714844
2021-06-09,327.7135009765625,396.0562438964844
2021-06-10,331.12841796875,397.8973693847656
2021-06-11,331.9942932128906,398.5548095703125
2021-06-14,335.1757507324219,399.44720458984375
2021-06-15,332.9866638183594,398.714599609375
2021-06-16,331.7705993652344,396.48834228515625
2021-06-17,335.9832763671875,396.35693359375
2021-06-18,333.3467102050781,391.0098571777344
2021-06-21,335.41839599609375,396.6075439453125
2021-06-22,338.54510498046875,398.72784423828125
2021-06-23,338.7106628417969,398.24725341796875
2021-06-24,340.80487060546875,400.60321044921875
2021-06-25,340.38592529296875,402.02618408203125
2021-06-28,344.5256042480469,402.836669921875
2021-06-29,345.77239990234375,403.0533752441406
