Datetime,IWM,VAL,VTV,XLF,XLI
2025-07-28 13:30:00+00:00,224.19000244140625,51.41999816894531,180.2445068359375,53.404998779296875,154.7949981689453
2025-07-28 14:30:00+00:00,223.8300018310547,51.459999084472656,180.1300048828125,53.185001373291016,154.52999877929688
2025-07-28 15:30:00+00:00,224.52000427246094,51.5,180.25,53.20500183105469,154.74000549316406
2025-07-28 16:30:00+00:00,223.8350067138672,51.310001373291016,179.78579711914062,53.08000183105469,154.3300018310547
2025-07-28 17:30:00+00:00,223.88999938964844,51.474998474121094,179.5800018310547,52.994998931884766,154.35000610351562
2025-07-28 18:30:00+00:00,223.97500610351562,51.529998779296875,179.55499267578125,52.99399948120117,154.3300018310547
2025-07-28 19:30:00+00:00,224.14999389648438,51.61000061035156,179.7100067138672,53.06999969482422,154.47500610351562
2025-07-29 13:30:00+00:00,224.5500030517578,50.400001525878906,180.11000061035156,53.165000915527344,153.47999572753906
2025-07-29 14:30:00+00:00,222.63999938964844,49.84000015258789,179.67999267578125,52.900001525878906,152.64999389648438
2025-07-29 15:30:00+00:00,222.60000610351562,50.26499938964844,179.6699981689453,52.935001373291016,152.61000061035156
2025-07-29 16:30:00+00:00,223.2899932861328,50.380001068115234,179.69000244140625,52.96500015258789,152.94000244140625
2025-07-29 17:30:00+00:00,222.9199981689453,50.875,179.4375,52.814998626708984,152.5749969482422
2025-07-29 18:30:00+00:00,222.91000366210938,50.7599983215332,179.4600067138672,52.78310012817383,152.50999450683594
2025-07-29 19:30:00+00:00,222.67999267578125,50.91999816894531,179.72000122070312,52.779998779296875,152.74000549316406
2025-07-30 13:30:00+00:00,224.22999572753906,48.900001525878906,179.65499877929688,52.931800842285156,152.63999938964844
2025-07-30 14:30:00+00:00,223.8000030517578,48.7599983215332,179.27999877929688,52.87009811401367,152.3800048828125
2025-07-30 15:30:00+00:00,224.6916046142578,49.459999084472656,179.66000366210938,52.95500183105469,152.6699981689453
2025-07-30 16:30:00+00:00,224.5500030517578,49.45000076293945,179.5500030517578,52.904998779296875,152.67959594726562
2025-07-30 17:30:00+00:00,224.36000061035156,49.2599983215332,179.69000244140625,52.959999084472656,152.6300048828125
2025-07-30 18:30:00+00:00,220.33999633789062,47.66999816894531,178.0800018310547,52.4900016784668,151.4499969482422
2025-07-30 19:30:00+00:00,221.58999633789062,48.720001220703125,178.67999267578125,52.68000030517578,151.9949951171875
2025-07-31 13:30:00+00:00,221.27000427246094,49.68000030517578,178.75,52.79010009765625,152.64999389648438
2025-07-31 14:30:00+00:00,220.30999755859375,49.165000915527344,177.99000549316406,52.63990020751953,152.22999572753906
2025-07-31 15:30:00+00:00,221.27000427246094,49.5,178.39419555664062,52.79499816894531,152.42999267578125
2025-07-31 16:30:00+00:00,219.73500061035156,48.72999954223633,177.85000610351562,52.554100036621094,151.9199981689453
2025-07-31 17:30:00+00:00,219.85000610351562,48.869998931884766,177.77999877929688,52.65999984741211,152.27000427246094
2025-07-31 18:30:00+00:00,219.69000244140625,48.81999969482422,177.35000610351562,52.5099983215332,152.11000061035156
2025-07-31 19:30:00+00:00,219.4199981689453,48.650001525878906,177.02999877929688,52.36000061035156,151.9600067138672
2025-08-01 13:30:00+00:00,214.9499969482422,44.95000076293945,175.2100067138672,51.400001525878906,149.55999755859375
2025-08-01 14:30:00+00:00,213.88999938964844,44.77000045776367,175.1300048828125,51.23500061035156,149.2100067138672
2025-08-01 15:30:00+00:00,216.1699981689453,45.099998474121094,175.94000244140625,51.56999969482422,150.19000244140625
2025-08-01 16:30:00+00:00,214.63999938964844,44.87990188598633,175.22000122070312,51.28499984741211,149.27000427246094
2025-08-01 17:30:00+00:00,215.08999633789062,45.04999923706055,175.39999389648438,51.375,149.625
2025-08-01 18:30:00+00:00,215.22000122070312,45.22999954223633,175.56500244140625,51.42499923706055,149.7449951171875
2025-08-01 19:30:00+00:00,214.9600067138672,45.25,175.51499938964844,51.415000915527344,149.72999572753906
2025-08-04 13:30:00+00:00,217.60499572753906,45.6150016784668,176.6199951171875,51.71480178833008,151.0749969482422
2025-08-04 14:30:00+00:00,217.8802947998047,45.86000061035156,176.6999969482422,51.744998931884766,150.91000366210938
2025-08-04 15:30:00+00:00,218.20989990234375,45.72999954223633,176.63999938964844,51.640098571777344,150.9600067138672
2025-08-04 16:30:00+00:00,218.58999633789062,45.58000183105469,176.81500244140625,51.7599983215332,150.9600067138672
2025-08-04 17:30:00+00:00,218.80499267578125,45.66999816894531,176.73500061035156,51.724998474121094,150.72500610351562
2025-08-04 18:30:00+00:00,219.49000549316406,45.599998474121094,177.03500366210938,51.845001220703125,151.0749969482422
2025-08-04 19:30:00+00:00,219.69000244140625,45.560001373291016,177.1300048828125,51.89500045776367,151.1199951171875
2025-08-05 13:30:00+00:00,219.625,46.23500061035156,176.79029846191406,51.630001068115234,150.73500061035156
2025-08-05 14:30:00+00:00,219.30999755859375,46.599998474121094,176.7100067138672,51.500099182128906,150.22999572753906
2025-08-05 15:30:00+00:00,220.25,47.560001373291016,177.0247039794922,51.68000030517578,150.73500061035156
2025-08-05 16:30:00+00:00,220.58999633789062,47.314998626708984,177.389892578125,51.82500076293945,150.88999938964844
2025-08-05 17:30:00+00:00,220.1199951171875,47.314998626708984,177.00999450683594,51.706298828125,150.5500030517578
2025-08-05 18:30:00+00:00,220.92999267578125,47.84000015258789,177.32000732421875,51.805198669433594,150.94500732421875
2025-08-05 19:30:00+00:00,220.86000061035156,47.779998779296875,177.1699981689453,51.69499969482422,150.80499267578125
